cam2_X,cam2_Y
NaN,NaN
909.428011,1644.524026
1228.045152,1459.521071
1505.015132,1291.481746
NaN,NaN
1433.412847,1405.537777
438.007145,1479.005384
784.908891,1290.859562
1086.510428,1105.478183
1387.537128,935.006497
1672.143091,771.953455
286.521107,1099.03502
640.024625,921.974856
1252.987954,585.005517
1561.080428,434.454662
129.055688,706.935533
492.039556,537.031817
818.556277,366.00564
1145.430818,220.52988
1448.60998,72.934707
360.546917,380.917861
NaN,NaN
NaN,NaN
327.016875,144.024381
NaN,NaN
NaN,NaN
NaN,NaN
